instance,node_id,current_time,depth,remaining_size,lb_par,lb_pos,opt_remaining,tightness_par,tightness_pos
tf0.6_rdd0.3_seed3,1243,153.6540448,15,5,443.30655520000016,477.4990256000001,505.15075199999995,0.8775727907854332,0.945260446924961
tf0.6_rdd0.3_seed3,1244,165.8836448,16,4,405.3413104000001,420.02704960000005,438.85115199999996,0.9236418966948505,0.957105951951563
tf0.6_rdd0.3_seed3,1245,178.23422720000002,18,2,214.12460320000005,214.79435200000006,220.29414880000002,0.9719940559764882,0.9750343037708501
tf0.6_rdd0.3_seed3,1254,111.26455519999999,13,7,403.8777071999999,460.2337119999999,509.3089776,0.7929915335543065,0.9036434310833164
tf0.6_rdd0.3_seed3,1255,120.1861472,15,5,305.53496479999995,334.310168,364.29879359999995,0.8386933203393403,0.917681238239489
tf0.6_rdd0.3_seed3,1256,128.42378399999998,17,3,230.23794399999997,244.97739999999996,259.45151999999996,0.8874025636851155,0.9442126220729021
tf0.6_rdd0.3_seed3,1257,137.669448,18,2,190.05982399999996,193.20795199999998,200.779856,0.9466080302398462,0.9622875314742729
tf0.6_rdd0.3_seed3,1267,124.86208799999999,14,6,452.00081599999993,482.3908319999999,498.87695999999994,0.9060366628276438,0.9669535189598653
tf0.6_rdd0.3_seed3,1268,134.065768,16,4,346.48767999999995,363.437024,370.86872800000003,0.9342596283825794,0.9799613625012891
tf0.6_rdd0.3_seed3,1269,155.248424,17,3,310.78722400000004,316.594616,320.524072,0.9696221006452209,0.9877405276443636
tf0.6_rdd0.3_seed3,1270,165.173096,19,1,94.19037599999999,94.19037599999999,94.19028,1.0000010192134474,1.0000010192134474
tf0.6_rdd0.3_seed3,1278,123.932488,13,7,427.58530400000006,487.96720000000016,535.6452767999999,0.7982620635702021,0.9109894572676277
tf0.6_rdd0.3_seed3,1279,133.178152,14,6,428.8811360000002,465.08779040000013,502.86761279999996,0.852870865180523,0.9248712356128101
tf0.6_rdd0.3_seed3,1280,147.0873888,16,4,357.8525424000001,382.8382816000001,391.35940800000003,0.9143833905227087,0.9782268517740604
tf0.6_rdd0.3_seed3,1281,157.6818096,18,2,232.77218560000003,239.998096,239.9985664,0.969889900142337,0.9999980399882923
tf0.6_rdd0.3_seed3,1282,164.90772,19,1,130.09037600000002,130.09037600000002,130.090656,0.9999978476547926,0.9999978476547926
tf0.6_rdd0.3_seed3,1292,144.6249872,15,5,501.59032479999996,516.640272,538.9176496,0.9307364959605509,0.9586627425979927
tf0.6_rdd0.3_seed3,1293,153.5465792,17,3,318.6835344,320.948952,329.4764656,0.967242178647433,0.9741179887174316
tf0.6_rdd0.3_seed3,1303,136.1762848,14,6,465.7718,496.3463392,534.4932527999999,0.8714269030712825,0.9286297565027
tf0.6_rdd0.3_seed3,1304,146.77070559999999,16,4,383.70249279999996,398.1271136,412.24441119999994,0.9307645716362353,0.9657550297433845
tf0.6_rdd0.3_seed3,1305,181.764456,19,1,137.090376,137.090376,137.08992,1.0000033262839454,1.0000033262839454
tf0.6_rdd0.3_seed3,1315,139.62506399999998,14,6,468.5156959999998,515.7277919999999,550.147864,0.8516177679824634,0.9374348711458415
tf0.6_rdd0.3_seed3,1316,149.754664,16,4,343.554368,367.69622400000003,388.53142399999996,0.8842383055224898,0.9463744790949009
tf0.6_rdd0.3_seed3,1317,165.379304,18,2,200.16968,203.194352,209.78014399999995,0.9541879235243543,0.9686062185179931
tf0.6_rdd0.3_seed3,1326,98.78930399999999,13,7,381.12619999999987,443.9703599999999,523.934088,0.7274315772330505,0.8473782679320532
tf0.6_rdd0.3_seed3,1327,129.578152,16,4,352.22483199999994,384.506208,415.7232240000001,0.8472580112579899,0.9249091361804698
tf0.6_rdd0.3_seed3,1328,150.760808,17,3,321.01199199999996,331.9638,345.146568,0.9300744140674752,0.9618053046959458
tf0.6_rdd0.3_seed3,1329,182.938536,19,1,131.890376,131.890376,131.89084,0.9999964819391551,0.9999964819391551
tf0.6_rdd0.3_seed3,1338,124.1719696,13,7,468.22219359999997,547.8354928000001,587.4080591999999,0.7970986884954882,0.9326318974004302
tf0.6_rdd0.3_seed3,1339,131.39788,14,6,435.17977599999995,487.9820479999999,520.28576,0.8364245371620395,0.937911596888602
