instance,n,M,mode,status,obj,bound,gap_pct,time_s,nodes,nvars,nconstr,fam,TF,RDD,solved,timeout,t,nontrivial
ht2_2-25_0.6_0.6_3,25,3,pbatch,OPTIMAL,22.2043,22.2043,0.0,15.54,4916,2300,4174,ht2,0.6,0.6,True,False,15.54,True
ht2_2-25_0.6_0.6_3,25,3,mix,TIME_LIMIT,167.2004,29.9505,82.09,3600.33,1334076,2225,4174,ht2,0.6,0.6,False,True,3600.0,True
ht2_2-25_0.6_0.6_3,25,4,pbatch,OPTIMAL,19.9643,19.9643,0.0,10.32,868,3050,5549,ht2,0.6,0.6,True,False,10.32,True
ht2_2-25_0.6_0.6_3,25,4,mix,TIME_LIMIT,103.3298,19.8172,80.82,3600.24,1034997,2950,5549,ht2,0.6,0.6,False,True,3600.0,True
ht2_1-30_0.3_0.3_1,30,2,pbatch,OPTIMAL,0.0,0.0,0.0,0.1,0,2160,3959,ht2,0.3,0.3,True,False,0.1,False
ht2_1-30_0.3_0.3_1,30,2,mix,OPTIMAL,0.0,0.0,0.0,20.02,2377,2100,3959,ht2,0.3,0.3,True,False,20.02,False
ht2_1-30_0.3_0.3_1,30,3,pbatch,OPTIMAL,0.0,0.0,0.0,0.15,0,3210,5909,ht2,0.3,0.3,True,False,0.15,False
ht2_1-30_0.3_0.3_1,30,3,mix,OPTIMAL,0.0,0.0,0.0,3.26,1,3120,5909,ht2,0.3,0.3,True,False,3.26,False
ht2_1-30_0.3_0.3_1,30,4,pbatch,OPTIMAL,0.0,0.0,0.0,0.18,0,4260,7859,ht2,0.3,0.3,True,False,0.18,False
ht2_1-30_0.3_0.3_1,30,4,mix,OPTIMAL,0.0,0.0,0.0,2.97,1,4140,7859,ht2,0.3,0.3,True,False,2.97,False
ht2_1-30_0.3_0.6_1,30,2,pbatch,OPTIMAL,0.0,0.0,0.0,0.09,0,2160,3959,ht2,0.3,0.6,True,False,0.09,False
ht2_1-30_0.3_0.6_1,30,2,mix,OPTIMAL,0.0,0.0,0.0,15.53,2450,2100,3959,ht2,0.3,0.6,True,False,15.53,False
ht2_1-30_0.3_0.6_1,30,3,pbatch,OPTIMAL,0.0,0.0,0.0,0.14,0,3210,5909,ht2,0.3,0.6,True,False,0.14,False
ht2_1-30_0.3_0.6_1,30,3,mix,OPTIMAL,0.0,0.0,0.0,3.85,1,3120,5909,ht2,0.3,0.6,True,False,3.85,False
ht2_1-30_0.3_0.6_1,30,4,pbatch,OPTIMAL,0.0,0.0,0.0,0.18,0,4260,7859,ht2,0.3,0.6,True,False,0.18,False
